DFG_Name,Target_Latency(FALLS),Actual_Latency(Project),Delta,Status,FUs_Used,Runtime_ms
example_4type_invdelay,8,5,-3,PASS,3,250265
hal_4type_invdelay,21,18,-3,PASS,5,8.7914
horner_bezier_surf_dfg__12_4type_invdelay,31,43,12,FAIL,4,152.503
arf_4type_invdelay,43,42,-1,PASS,4,45.4837
motion_vectors_dfg__7_4type_invdelay,25,25,0,PASS,8,60.9795
ewf_4type_invdelay,61,61,0,PASS,4,120.646
feedback_points_dfg__7_4type_invdelay,30,39,9,FAIL,9,1550.14
write_bmp_header_dfg__7_4type_invdelay,28,46,18,FAIL,15,19598.6
interpolate_aux_dfg__12_4type_invdelay,34,73,39,FAIL,13,62384.3
matmul_dfg__3_4type_invdelay,43,79,36,FAIL,10,112000
smooth_color_z_triangle_dfg__31_4type_invdelay,55,91,36,FAIL,12,424472
example_4type_invdelay,8,5,-3,PASS,3,8764.8
hal_4type_invdelay,21,27,6,FAIL,4,33.2934
horner_bezier_surf_dfg__12_4type_invdelay,31,43,12,FAIL,4,196.847
arf_4type_invdelay,43,42,-1,PASS,4,53.6036
motion_vectors_dfg__7_4type_invdelay,25,49,24,FAIL,6,1381.19
ewf_4type_invdelay,61,61,0,PASS,4,134.087
feedback_points_dfg__7_4type_invdelay,30,48,18,FAIL,7,2695.13
write_bmp_header_dfg__7_4type_invdelay,28,79,51,FAIL,11,115474
example_4type_invdelay,8,11,3,FAIL,2,2.4255
hal_4type_invdelay,21,21,0,PASS,4,9.2969
horner_bezier_surf_dfg__12_4type_invdelay,31,31,0,PASS,4,21.3148
arf_4type_invdelay,43,46,3,FAIL,4,200.12
motion_vectors_dfg__7_4type_invdelay,25,52,27,FAIL,5,2136.19
ewf_4type_invdelay,61,76,15,FAIL,4,1333.65
feedback_points_dfg__7_4type_invdelay,30,126,96,FAIL,7,80045.9
write_bmp_header_dfg__7_4type_invdelay,28,61,33,FAIL,12,41763.8
example_4type_invdelay,8,11,3,FAIL,2,2.037
hal_4type_invdelay,21,21,0,PASS,4,6.1161
horner_bezier_surf_dfg__12_4type_invdelay,31,31,0,PASS,4,21.2929
arf_4type_invdelay,43,46,3,FAIL,4,178.853
motion_vectors_dfg__7_4type_invdelay,25,52,27,FAIL,5,2273.29
ewf_4type_invdelay,61,76,15,FAIL,4,1256.66
feedback_points_dfg__7_4type_invdelay,30,126,96,FAIL,7,76183.7
write_bmp_header_dfg__7_4type_invdelay,28,61,33,FAIL,12,43657.7
